complaint_id,text,language,category,department,priority,template_group
HIN_0022,"कृपया मदद करें, एक ही ऑर्डर के लिए दो बार पैसे कट गए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0023,"कृपया मदद करें, एक ही ऑर्डर के लिए दो बार पैसे कट गए। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0024,"कृपया मदद करें, एक ही ऑर्डर के लिए दो बार पैसे कट गए। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0025,मुझे सहायता चाहिए क्योंकि एक ही ऑर्डर के लिए दो बार पैसे कट गए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0026,मुझे सहायता चाहिए क्योंकि एक ही ऑर्डर के लिए दो बार पैसे कट गए। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0027,मुझे सहायता चाहिए क्योंकि एक ही ऑर्डर के लिए दो बार पैसे कट गए। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0028,यह बहुत जरूरी है: एक ही ऑर्डर के लिए दो बार पैसे कट गए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0029,यह बहुत जरूरी है: एक ही ऑर्डर के लिए दो बार पैसे कट गए। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0030,यह बहुत जरूरी है: एक ही ऑर्डर के लिए दो बार पैसे कट गए। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02
HIN_0031,पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0032,पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0033,पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0034,"नमस्ते, पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0035,"नमस्ते, पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0036,"नमस्ते, पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0037,"कृपया मदद करें, पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0038,"कृपया मदद करें, पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0039,"कृपया मदद करें, पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0040,मुझे सहायता चाहिए क्योंकि पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0041,मुझे सहायता चाहिए क्योंकि पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0042,मुझे सहायता चाहिए क्योंकि पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0043,यह बहुत जरूरी है: पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0044,यह बहुत जरूरी है: पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0045,यह बहुत जरूरी है: पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03
HIN_0046,मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0047,मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0048,मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0049,"नमस्ते, मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0050,"नमस्ते, मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0051,"नमस्ते, मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0052,"कृपया मदद करें, मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0053,"कृपया मदद करें, मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0054,"कृपया मदद करें, मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0055,मुझे सहायता चाहिए क्योंकि मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0056,मुझे सहायता चाहिए क्योंकि मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0057,मुझे सहायता चाहिए क्योंकि मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0058,यह बहुत जरूरी है: मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0059,यह बहुत जरूरी है: मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0060,यह बहुत जरूरी है: मेरा कार्ड पेमेंट प्रोसेसिंग में अटका हुआ है। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_04
HIN_0061,चेकआउट फेल होने के बाद भी राशि डेबिट हो गई।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0062,चेकआउट फेल होने के बाद भी राशि डेबिट हो गई। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0063,चेकआउट फेल होने के बाद भी राशि डेबिट हो गई। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0064,"नमस्ते, चेकआउट फेल होने के बाद भी राशि डेबिट हो गई।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0065,"नमस्ते, चेकआउट फेल होने के बाद भी राशि डेबिट हो गई। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0066,"नमस्ते, चेकआउट फेल होने के बाद भी राशि डेबिट हो गई। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0067,"कृपया मदद करें, चेकआउट फेल होने के बाद भी राशि डेबिट हो गई।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0068,"कृपया मदद करें, चेकआउट फेल होने के बाद भी राशि डेबिट हो गई। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0069,"कृपया मदद करें, चेकआउट फेल होने के बाद भी राशि डेबिट हो गई। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0070,मुझे सहायता चाहिए क्योंकि चेकआउट फेल होने के बाद भी राशि डेबिट हो गई।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0071,मुझे सहायता चाहिए क्योंकि चेकआउट फेल होने के बाद भी राशि डेबिट हो गई। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0072,मुझे सहायता चाहिए क्योंकि चेकआउट फेल होने के बाद भी राशि डेबिट हो गई। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0073,यह बहुत जरूरी है: चेकआउट फेल होने के बाद भी राशि डेबिट हो गई।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0074,यह बहुत जरूरी है: चेकआउट फेल होने के बाद भी राशि डेबिट हो गई। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0075,यह बहुत जरूरी है: चेकआउट फेल होने के बाद भी राशि डेबिट हो गई। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_05
HIN_0076,यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0077,यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0078,यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0079,"नमस्ते, यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0080,"नमस्ते, यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0081,"नमस्ते, यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0082,"कृपया मदद करें, यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0083,"कृपया मदद करें, यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0084,"कृपया मदद करें, यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0085,मुझे सहायता चाहिए क्योंकि यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0086,मुझे सहायता चाहिए क्योंकि यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0087,मुझे सहायता चाहिए क्योंकि यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0088,यह बहुत जरूरी है: यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0089,यह बहुत जरूरी है: यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0090,यह बहुत जरूरी है: यूपीआई पेमेंट सफल हुआ लेकिन ऑर्डर प्लेस नहीं हुआ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_06
HIN_0091,ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0092,ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0093,ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0094,"नमस्ते, ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0095,"नमस्ते, ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0096,"नमस्ते, ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0097,"कृपया मदद करें, ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0098,"कृपया मदद करें, ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0099,"कृपया मदद करें, ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0100,मुझे सहायता चाहिए क्योंकि ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0101,मुझे सहायता चाहिए क्योंकि ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0102,मुझे सहायता चाहिए क्योंकि ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0103,यह बहुत जरूरी है: ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0104,यह बहुत जरूरी है: ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0105,यह बहुत जरूरी है: ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07
HIN_0106,मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0107,मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0108,मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0109,"नमस्ते, मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0110,"नमस्ते, मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0111,"नमस्ते, मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0112,"कृपया मदद करें, मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0113,"कृपया मदद करें, मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0114,"कृपया मदद करें, मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0115,मुझे सहायता चाहिए क्योंकि मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0116,मुझे सहायता चाहिए क्योंकि मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0117,मुझे सहायता चाहिए क्योंकि मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0118,यह बहुत जरूरी है: मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0119,यह बहुत जरूरी है: मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0120,यह बहुत जरूरी है: मैं अपने ऑर्डर का पेमेंट पूरा नहीं कर पा रही हूँ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_08
HIN_0121,चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0122,चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0123,चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0124,"नमस्ते, चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0125,"नमस्ते, चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0126,"नमस्ते, चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0127,"कृपया मदद करें, चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0128,"कृपया मदद करें, चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है। कृपया इसे जल्दी हल करें।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0129,"कृपया मदद करें, चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0130,मुझे सहायता चाहिए क्योंकि चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0131,मुझे सहायता चाहिए क्योंकि चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0132,मुझे सहायता चाहिए क्योंकि चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0133,यह बहुत जरूरी है: चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0134,यह बहुत जरूरी है: चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0135,यह बहुत जरूरी है: चेकआउट के समय पेमेंट पेज बार-बार फेल हो रहा है। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_09
HIN_0136,मेरी खरीदारी के लिए गलत राशि ली गई।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_10
HIN_0137,मेरी खरीदारी के लिए गलत राशि ली गई। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_10
HIN_0138,मेरी खरीदारी के लिए गलत राशि ली गई। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_10
HIN_0139,"नमस्ते, मेरी खरीदारी के लिए गलत राशि ली गई।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_10
