complaint_id,text,language,category,department,priority,template_group
ENG_0060,This is urgent: my card payment is stuck in processing I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_04
ENG_0061,The amount was debited even though checkout failed,English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0062,The amount was debited even though checkout failed Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0063,The amount was debited even though checkout failed I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0064,"Hello, the amount was debited even though checkout failed",English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0065,"Hello, the amount was debited even though checkout failed Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0066,"Hello, the amount was debited even though checkout failed I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0067,"Please help, the amount was debited even though checkout failed",English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0068,"Please help, the amount was debited even though checkout failed Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0069,"Please help, the amount was debited even though checkout failed I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0070,I need assistance because the amount was debited even though checkout failed,English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0071,I need assistance because the amount was debited even though checkout failed Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0072,I need assistance because the amount was debited even though checkout failed I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0073,This is urgent: the amount was debited even though checkout failed,English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0074,This is urgent: the amount was debited even though checkout failed Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0075,This is urgent: the amount was debited even though checkout failed I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_05
ENG_0076,The UPI transaction succeeded but the order was not placed,English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0077,The UPI transaction succeeded but the order was not placed Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0078,The UPI transaction succeeded but the order was not placed I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0079,"Hello, the UPI transaction succeeded but the order was not placed",English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0080,"Hello, the UPI transaction succeeded but the order was not placed Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0081,"Hello, the UPI transaction succeeded but the order was not placed I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0082,"Please help, the UPI transaction succeeded but the order was not placed",English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0083,"Please help, the UPI transaction succeeded but the order was not placed Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0084,"Please help, the UPI transaction succeeded but the order was not placed I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0085,I need assistance because the UPI transaction succeeded but the order was not placed,English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0086,I need assistance because the UPI transaction succeeded but the order was not placed Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0087,I need assistance because the UPI transaction succeeded but the order was not placed I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0088,This is urgent: the UPI transaction succeeded but the order was not placed,English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0089,This is urgent: the UPI transaction succeeded but the order was not placed Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0090,This is urgent: the UPI transaction succeeded but the order was not placed I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_06
ENG_0091,Cash was charged even though the order shows payment pending,English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0092,Cash was charged even though the order shows payment pending Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0093,Cash was charged even though the order shows payment pending I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0094,"Hello, cash was charged even though the order shows payment pending",English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0095,"Hello, cash was charged even though the order shows payment pending Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0096,"Hello, cash was charged even though the order shows payment pending I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0097,"Please help, cash was charged even though the order shows payment pending",English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0098,"Please help, cash was charged even though the order shows payment pending Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0099,"Please help, cash was charged even though the order shows payment pending I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0100,I need assistance because cash was charged even though the order shows payment pending,English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0101,I need assistance because cash was charged even though the order shows payment pending Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0102,I need assistance because cash was charged even though the order shows payment pending I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0103,This is urgent: cash was charged even though the order shows payment pending,English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0104,This is urgent: cash was charged even though the order shows payment pending Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0105,This is urgent: cash was charged even though the order shows payment pending I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_07
ENG_0106,I cannot complete the payment for my order,English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0107,I cannot complete the payment for my order Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0108,I cannot complete the payment for my order I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0109,"Hello, I cannot complete the payment for my order",English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0110,"Hello, I cannot complete the payment for my order Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0111,"Hello, I cannot complete the payment for my order I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0112,"Please help, I cannot complete the payment for my order",English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0113,"Please help, I cannot complete the payment for my order Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0114,"Please help, I cannot complete the payment for my order I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0115,I need assistance because I cannot complete the payment for my order,English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0116,I need assistance because I cannot complete the payment for my order Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0117,I need assistance because I cannot complete the payment for my order I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0118,This is urgent: I cannot complete the payment for my order,English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0119,This is urgent: I cannot complete the payment for my order Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0120,This is urgent: I cannot complete the payment for my order I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_08
ENG_0121,The payment page keeps failing during checkout,English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0122,The payment page keeps failing during checkout Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0123,The payment page keeps failing during checkout I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0124,"Hello, the payment page keeps failing during checkout",English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0125,"Hello, the payment page keeps failing during checkout Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0126,"Hello, the payment page keeps failing during checkout I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0127,"Please help, the payment page keeps failing during checkout",English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0128,"Please help, the payment page keeps failing during checkout Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0129,"Please help, the payment page keeps failing during checkout I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0130,I need assistance because the payment page keeps failing during checkout,English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0131,I need assistance because the payment page keeps failing during checkout Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0132,I need assistance because the payment page keeps failing during checkout I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0133,This is urgent: the payment page keeps failing during checkout,English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0134,This is urgent: the payment page keeps failing during checkout Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0135,This is urgent: the payment page keeps failing during checkout I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_09
ENG_0136,The wrong amount was charged for my purchase,English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0137,The wrong amount was charged for my purchase Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0138,The wrong amount was charged for my purchase I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0139,"Hello, the wrong amount was charged for my purchase",English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0140,"Hello, the wrong amount was charged for my purchase Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0141,"Hello, the wrong amount was charged for my purchase I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0142,"Please help, the wrong amount was charged for my purchase",English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0143,"Please help, the wrong amount was charged for my purchase Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0144,"Please help, the wrong amount was charged for my purchase I need an update as soon as possible.",English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0145,I need assistance because the wrong amount was charged for my purchase,English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0146,I need assistance because the wrong amount was charged for my purchase Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0147,I need assistance because the wrong amount was charged for my purchase I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0148,This is urgent: the wrong amount was charged for my purchase,English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0149,This is urgent: the wrong amount was charged for my purchase Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0150,This is urgent: the wrong amount was charged for my purchase I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_10
ENG_0151,My order has not arrived yet,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0152,My order has not arrived yet Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0153,My order has not arrived yet I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0154,"Hello, my order has not arrived yet",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0155,"Hello, my order has not arrived yet Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0156,"Hello, my order has not arrived yet I need an update as soon as possible.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0157,"Please help, my order has not arrived yet",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0158,"Please help, my order has not arrived yet Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0159,"Please help, my order has not arrived yet I need an update as soon as possible.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0160,I need assistance because my order has not arrived yet,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0161,I need assistance because my order has not arrived yet Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0162,I need assistance because my order has not arrived yet I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0163,This is urgent: my order has not arrived yet,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0164,This is urgent: my order has not arrived yet Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0165,This is urgent: my order has not arrived yet I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_01
ENG_0166,The delivery is delayed beyond the promised date,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0167,The delivery is delayed beyond the promised date Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0168,The delivery is delayed beyond the promised date I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0169,"Hello, the delivery is delayed beyond the promised date",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0170,"Hello, the delivery is delayed beyond the promised date Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0171,"Hello, the delivery is delayed beyond the promised date I need an update as soon as possible.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0172,"Please help, the delivery is delayed beyond the promised date",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0173,"Please help, the delivery is delayed beyond the promised date Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0174,"Please help, the delivery is delayed beyond the promised date I need an update as soon as possible.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0175,I need assistance because the delivery is delayed beyond the promised date,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0176,I need assistance because the delivery is delayed beyond the promised date Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0177,I need assistance because the delivery is delayed beyond the promised date I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0178,This is urgent: the delivery is delayed beyond the promised date,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0179,This is urgent: the delivery is delayed beyond the promised date Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0180,This is urgent: the delivery is delayed beyond the promised date I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02
ENG_0181,Tracking shows delivered but I did not receive the package,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0182,Tracking shows delivered but I did not receive the package Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0183,Tracking shows delivered but I did not receive the package I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0184,"Hello, tracking shows delivered but I did not receive the package",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0185,"Hello, tracking shows delivered but I did not receive the package Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0186,"Hello, tracking shows delivered but I did not receive the package I need an update as soon as possible.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0187,"Please help, tracking shows delivered but I did not receive the package",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0188,"Please help, tracking shows delivered but I did not receive the package Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0189,"Please help, tracking shows delivered but I did not receive the package I need an update as soon as possible.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0190,I need assistance because tracking shows delivered but I did not receive the package,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0191,I need assistance because tracking shows delivered but I did not receive the package Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0192,I need assistance because tracking shows delivered but I did not receive the package I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0193,This is urgent: tracking shows delivered but I did not receive the package,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0194,This is urgent: tracking shows delivered but I did not receive the package Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0195,This is urgent: tracking shows delivered but I did not receive the package I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03
ENG_0196,The courier has not contacted me,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0197,The courier has not contacted me Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0198,The courier has not contacted me I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0199,"Hello, the courier has not contacted me",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0200,"Hello, the courier has not contacted me Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0201,"Hello, the courier has not contacted me I need an update as soon as possible.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0202,"Please help, the courier has not contacted me",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0203,"Please help, the courier has not contacted me Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0204,"Please help, the courier has not contacted me I need an update as soon as possible.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0205,I need assistance because the courier has not contacted me,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0206,I need assistance because the courier has not contacted me Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0207,I need assistance because the courier has not contacted me I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0208,This is urgent: the courier has not contacted me,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0209,This is urgent: the courier has not contacted me Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0210,This is urgent: the courier has not contacted me I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04
ENG_0211,My package is stuck at the same location,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0212,My package is stuck at the same location Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0213,My package is stuck at the same location I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0214,"Hello, my package is stuck at the same location",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0215,"Hello, my package is stuck at the same location Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0216,"Hello, my package is stuck at the same location I need an update as soon as possible.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0217,"Please help, my package is stuck at the same location",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0218,"Please help, my package is stuck at the same location Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0219,"Please help, my package is stuck at the same location I need an update as soon as possible.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0220,I need assistance because my package is stuck at the same location,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0221,I need assistance because my package is stuck at the same location Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0222,I need assistance because my package is stuck at the same location I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0223,This is urgent: my package is stuck at the same location,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0224,This is urgent: my package is stuck at the same location Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0225,This is urgent: my package is stuck at the same location I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_05
ENG_0226,The delivery date keeps changing,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_06
ENG_0227,The delivery date keeps changing Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_06
ENG_0228,The delivery date keeps changing I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_06
ENG_0229,"Hello, the delivery date keeps changing",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_06
