complaint_id,text,language,category,department,priority,template_group,text_length,word_count,split
HIN_1117,"कृपया मदद करें, मेरे सेव किए हुए कार्ड का बिना अनुमति उपयोग हुआ।",Hindi,Fraud/Security,Security Team,Critical,Hindi_Fraud/Security_05,64,13,train
ENG_0027,I need assistance because I was charged twice for the same order I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_02,102,20,train
ENG_0930,This is urgent: I am not receiving the login OTP I need an update as soon as possible.,English,Account Issue,Account Support,Medium,English_Account Issue_02,86,18,train
ENG_0033,The payment failed but money was taken from my account I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_03,92,18,test
ENG_0316,The refund is still pending,English,Refund Issue,Refund Team,High,English_Refund Issue_02,27,5,validation
HGL_0308,"Please help, order cancel kiya but refund abhi tak nahi mila. Please jaldi resolve karo.",Hinglish,Refund Issue,Refund Team,High,Hinglish_Refund Issue_01,88,15,train
HGL_0488,"Please help, cancellation request baar baar fail ho rahi hai. Please jaldi resolve karo.",Hinglish,Cancellation Issue,Order Management,Medium,Hinglish_Cancellation Issue_03,88,14,train
HIN_0310,मुझे सहायता चाहिए क्योंकि मैंने ऑर्डर रद्द किया लेकिन रिफंड नहीं मिला।,Hindi,Refund Issue,Refund Team,High,Hindi_Refund Issue_01,70,12,train
ENG_0271,The courier refused to deliver my package,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_09,41,7,train
HIN_0766,मुझे खराब सामान का रिप्लेसमेंट चाहिए।,Hindi,Return/Replacement,Returns Team,Medium,Hindi_Return/Replacement_02,37,6,train
ENG_0880,I need assistance because I received the wrong replacement product,English,Return/Replacement,Returns Team,Medium,English_Return/Replacement_09,66,10,train
HIN_0725,"नमस्ते, उत्पाद का आकार या रंग मेरे ऑर्डर से अलग है। कृपया इसे जल्दी हल करें।",Hindi,Product Issue,Product Support,High,Hindi_Product Issue_09,76,16,train
ENG_1058,"Please help, there is an unknown transaction on my account Please resolve this.",English,Fraud/Security,Security Team,Critical,English_Fraud/Security_01,79,13,train
HIN_1178,"कृपया मदद करें, नकली कस्टमर केयर एजेंट ने बैंक की जानकारी मांगी। कृपया इसे जल्दी हल करें।",Hindi,Fraud/Security,Security Team,Critical,Hindi_Fraud/Security_09,89,17,train
HIN_0032,पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03,68,15,train
ENG_0440,"Hello, my bank has not received the promised refund Please resolve this.",English,Refund Issue,Refund Team,High,English_Refund Issue_10,72,12,train
ENG_0416,I need assistance because I received a smaller refund than expected Please resolve this.,English,Refund Issue,Refund Team,High,English_Refund Issue_08,88,14,test
ENG_0671,I need assistance because an accessory is missing from the package Please resolve this.,English,Product Issue,Product Support,High,English_Product Issue_05,87,14,train
HGL_0444,"Please help, mere bank account mein promised refund nahi aaya. Mujhe jaldi update chahiye.",Hinglish,Refund Issue,Refund Team,High,Hinglish_Refund Issue_10,90,14,train
HGL_0620,"Hello, item defective hai aur work nahi kar raha. Please jaldi resolve karo.",Hinglish,Product Issue,Product Support,High,Hinglish_Product Issue_02,76,13,test
ENG_0812,I want to exchange the item for another size Please resolve this.,English,Return/Replacement,Returns Team,Medium,English_Return/Replacement_05,65,12,train
HIN_1158,मुझे पेमेंट मांगने वाला संदिग्ध संदेश मिला। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Fraud/Security,Security Team,Critical,Hindi_Fraud/Security_08,76,13,train
ENG_0180,This is urgent: the delivery is delayed beyond the promised date I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02,102,19,validation
HGL_0363,Return accept hua but refund process nahi hua. Mujhe jaldi update chahiye.,Hinglish,Refund Issue,Refund Team,High,Hinglish_Refund Issue_05,74,12,validation
HGL_0589,"Hello, order cancel karne par extra fee charge hui.",Hinglish,Cancellation Issue,Order Management,Medium,Hinglish_Cancellation Issue_10,51,9,train
HGL_0057,Mujhe help chahiye kyunki mera card payment processing mein stuck hai. Mujhe jaldi update chahiye.,Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_04,98,15,train
HIN_0027,मुझे सहायता चाहिए क्योंकि एक ही ऑर्डर के लिए दो बार पैसे कट गए। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_02,96,20,train
ENG_1000,I need assistance because the app logs me out repeatedly,English,Account Issue,Account Support,Medium,English_Account Issue_07,56,10,test
ENG_0818,"Please help, I want to exchange the item for another size Please resolve this.",English,Return/Replacement,Returns Team,Medium,English_Return/Replacement_05,78,14,train
ENG_0928,This is urgent: I am not receiving the login OTP,English,Account Issue,Account Support,Medium,English_Account Issue_02,48,10,train
HGL_0297,Mujhe help chahiye kyunki tracking information update nahi ho rahi hai. Mujhe jaldi update chahiye.,Hinglish,Delivery Issue,Logistics Team,Medium,Hinglish_Delivery Issue_10,99,15,train
HGL_0634,"Hello, mujhe wrong product deliver hua.",Hinglish,Product Issue,Product Support,High,Hinglish_Product Issue_03,39,6,validation
HGL_0556,Mujhe order ka ek item cancel karna hai.,Hinglish,Cancellation Issue,Order Management,Medium,Hinglish_Cancellation Issue_08,40,8,train
ENG_0121,The payment page keeps failing during checkout,English,Payment Issue,Payments Team,High,English_Payment Issue_09,46,7,train
HIN_0587,ऑर्डर रद्द करने पर मुझसे शुल्क लिया गया। कृपया इसे जल्दी हल करें।,Hindi,Cancellation Issue,Order Management,Medium,Hindi_Cancellation Issue_10,65,13,train
HIN_0204,"कृपया मदद करें, कूरियर वाले ने मुझसे संपर्क नहीं किया। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Delivery Issue,Logistics Team,Medium,Hindi_Delivery Issue_04,87,16,test
ENG_0388,This is urgent: the refund deadline has already passed,English,Refund Issue,Refund Team,High,English_Refund Issue_06,54,9,train
HIN_0311,मुझे सहायता चाहिए क्योंकि मैंने ऑर्डर रद्द किया लेकिन रिफंड नहीं मिला। कृपया इसे जल्दी हल करें।,Hindi,Refund Issue,Refund Team,High,Hindi_Refund Issue_01,95,17,train
HIN_0905,"नमस्ते, मैं अपने अकाउंट में लॉग इन नहीं कर पा रही हूँ। कृपया इसे जल्दी हल करें।",Hindi,Account Issue,Account Support,Medium,Hindi_Account Issue_01,79,17,test
HGL_0563,"Please help, mujhe order ka ek item cancel karna hai. Please jaldi resolve karo.",Hinglish,Cancellation Issue,Order Management,Medium,Hinglish_Cancellation Issue_08,80,14,train
HIN_0758,"कृपया मदद करें, मैं इस उत्पाद को वापस करना चाहती हूँ। कृपया इसे जल्दी हल करें।",Hindi,Return/Replacement,Returns Team,Medium,Hindi_Return/Replacement_01,78,16,train
ENG_0843,The return window is incorrectly shown as closed I need an update as soon as possible.,English,Return/Replacement,Returns Team,Medium,English_Return/Replacement_07,86,16,test
ENG_0185,"Hello, tracking shows delivered but I did not receive the package Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03,86,14,train
ENG_0496,The order was shipped after I requested cancellation,English,Cancellation Issue,Order Management,Medium,English_Cancellation Issue_04,52,8,test
HIN_1012,"कृपया मदद करें, मैं अकाउंट से जुड़ा ईमेल नहीं बदल पा रही हूँ।",Hindi,Account Issue,Account Support,Medium,Hindi_Account Issue_08,61,13,test
HGL_0802,"Please help, return pickup abhi tak nahi hua.",Hinglish,Return/Replacement,Returns Team,Medium,Hinglish_Return/Replacement_04,45,8,validation
ENG_0927,I need assistance because I am not receiving the login OTP I need an update as soon as possible.,English,Account Issue,Account Support,Medium,English_Account Issue_02,96,19,train
ENG_0462,I need assistance because I am unable to cancel my order I need an update as soon as possible.,English,Cancellation Issue,Order Management,Medium,English_Cancellation Issue_01,94,19,train
ENG_0034,"Hello, the payment failed but money was taken from my account",English,Payment Issue,Payments Team,High,English_Payment Issue_03,61,11,test
HIN_0594,"कृपया मदद करें, ऑर्डर रद्द करने पर मुझसे शुल्क लिया गया। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Cancellation Issue,Order Management,Medium,Hindi_Cancellation Issue_10,89,17,train
ENG_0290,"Hello, the tracking information has not been updated Please resolve this.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_10,73,11,train
HGL_0190,Mujhe help chahiye kyunki tracking delivered dikha raha hai but package nahi mila.,Hinglish,Delivery Issue,Logistics Team,Medium,Hinglish_Delivery Issue_03,82,13,validation
HIN_0340,मुझे सहायता चाहिए क्योंकि मुझे रिफंड की केवल कुछ राशि मिली है।,Hindi,Refund Issue,Refund Team,High,Hindi_Refund Issue_03,62,12,train
ENG_0645,This is urgent: I received the wrong product I need an update as soon as possible.,English,Product Issue,Product Support,High,English_Product Issue_03,82,16,train
ENG_0094,"Hello, cash was charged even though the order shows payment pending",English,Payment Issue,Payments Team,High,English_Payment Issue_07,67,11,test
ENG_0970,I need assistance because my saved address has disappeared,English,Account Issue,Account Support,Medium,English_Account Issue_05,58,9,train
HIN_0355,मुझे सहायता चाहिए क्योंकि ऐप में रिफंड दिख रहा है लेकिन खाते में पैसे नहीं आए।,Hindi,Refund Issue,Refund Team,High,Hindi_Refund Issue_04,78,16,test
ENG_1175,"Hello, a fake customer-care agent requested my bank details Please resolve this.",English,Fraud/Security,Security Team,Critical,English_Fraud/Security_09,80,12,train
HGL_0176,Mujhe help chahiye kyunki promised date ke baad bhi package nahi aaya. Please jaldi resolve karo.,Hinglish,Delivery Issue,Logistics Team,Medium,Hinglish_Delivery Issue_02,97,16,train
HGL_0754,"Hello, mujhe ye product return karna hai.",Hinglish,Return/Replacement,Returns Team,Medium,Hinglish_Return/Replacement_01,41,7,test
ENG_0804,"Please help, the pickup for my return has not happened I need an update as soon as possible.",English,Return/Replacement,Returns Team,Medium,English_Return/Replacement_04,92,18,validation
HIN_0275,"नमस्ते, कूरियर वाले ने पैकेज देने से मना कर दिया। कृपया इसे जल्दी हल करें।",Hindi,Delivery Issue,Logistics Team,Medium,Hindi_Delivery Issue_09,74,15,validation
ENG_0603,The product I received is damaged I need an update as soon as possible.,English,Product Issue,Product Support,High,English_Product Issue_01,71,14,validation
HIN_0765,यह बहुत जरूरी है: मैं इस उत्पाद को वापस करना चाहती हूँ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Return/Replacement,Returns Team,Medium,Hindi_Return/Replacement_01,88,18,train
HGL_0329,Ye urgent hai: mera refund abhi bhi pending hai. Please jaldi resolve karo.,Hinglish,Refund Issue,Refund Team,High,Hinglish_Refund Issue_02,75,13,train
HIN_0137,मेरी खरीदारी के लिए गलत राशि ली गई। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_10,60,13,test
ENG_0949,"Hello, I cannot update my phone number",English,Account Issue,Account Support,Medium,English_Account Issue_04,38,7,train
HGL_0777,Mujhe help chahiye kyunki damaged item ka replacement chahiye. Mujhe jaldi update chahiye.,Hinglish,Return/Replacement,Returns Team,Medium,Hinglish_Return/Replacement_02,90,13,train
ENG_0803,"Please help, the pickup for my return has not happened Please resolve this.",English,Return/Replacement,Returns Team,Medium,English_Return/Replacement_04,75,13,validation
HIN_0566,मुझे सहायता चाहिए क्योंकि मैं ऑर्डर में से एक सामान रद्द करना चाहती हूँ। कृपया इसे जल्दी हल करें।,Hindi,Cancellation Issue,Order Management,Medium,Hindi_Cancellation Issue_08,97,19,train
ENG_0071,I need assistance because the amount was debited even though checkout failed Please resolve this.,English,Payment Issue,Payments Team,High,English_Payment Issue_05,97,15,train
ENG_0444,"Please help, my bank has not received the promised refund I need an update as soon as possible.",English,Refund Issue,Refund Team,High,English_Refund Issue_10,95,18,train
HIN_1130,"नमस्ते, किसी ने मेरे अकाउंट का पासवर्ड बदल दिया। कृपया इसे जल्दी हल करें।",Hindi,Fraud/Security,Security Team,Critical,Hindi_Fraud/Security_06,73,14,train
HGL_0054,"Please help, mera card payment processing mein stuck hai. Mujhe jaldi update chahiye.",Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_04,85,13,train
ENG_1068,Someone placed an order using my account I need an update as soon as possible.,English,Fraud/Security,Security Team,Critical,English_Fraud/Security_02,78,15,train
HGL_0237,Mujhe help chahiye kyunki delivery date baar baar change ho rahi hai. Mujhe jaldi update chahiye.,Hinglish,Delivery Issue,Logistics Team,Medium,Hinglish_Delivery Issue_06,97,16,test
HGL_0373,Ye urgent hai: return accept hua but refund process nahi hua.,Hinglish,Refund Issue,Refund Team,High,Hinglish_Refund Issue_05,61,11,validation
HIN_1135,मुझे सहायता चाहिए क्योंकि किसी ने मेरे अकाउंट का पासवर्ड बदल दिया।,Hindi,Fraud/Security,Security Team,Critical,Hindi_Fraud/Security_06,66,12,train
HIN_1083,मेरा अकाउंट हैक हो गया है। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Fraud/Security,Security Team,Critical,Hindi_Fraud/Security_03,59,12,train
HIN_0215,"नमस्ते, मेरा पैकेज कई दिनों से एक ही जगह अटका है। कृपया इसे जल्दी हल करें।",Hindi,Delivery Issue,Logistics Team,Medium,Hindi_Delivery Issue_05,74,16,train
ENG_0606,"Hello, the product I received is damaged I need an update as soon as possible.",English,Product Issue,Product Support,High,English_Product Issue_01,78,15,validation
ENG_0292,"Please help, the tracking information has not been updated",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_10,58,9,train
ENG_0565,I need assistance because I want to cancel one item from my order,English,Cancellation Issue,Order Management,Medium,English_Cancellation Issue_08,65,13,train
HGL_0168,Promised date ke baad bhi package nahi aaya. Mujhe jaldi update chahiye.,Hinglish,Delivery Issue,Logistics Team,Medium,Hinglish_Delivery Issue_02,72,12,train
HGL_1182,Mujhe help chahiye kyunki fake customer care agent ne bank details maangi. Mujhe jaldi update chahiye.,Hinglish,Fraud/Security,Security Team,Critical,Hinglish_Fraud/Security_09,102,16,train
ENG_1107,I need assistance because I received an OTP for a purchase I did not make I need an update as soon as possible.,English,Fraud/Security,Security Team,Critical,English_Fraud/Security_04,111,23,train
HIN_1185,यह बहुत जरूरी है: नकली कस्टमर केयर एजेंट ने बैंक की जानकारी मांगी। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Fraud/Security,Security Team,Critical,Hindi_Fraud/Security_09,99,19,train
ENG_0552,I need assistance because the app is not showing the cancellation option I need an update as soon as possible.,English,Cancellation Issue,Order Management,Medium,English_Cancellation Issue_07,110,20,test
HIN_0037,"कृपया मदद करें, पेमेंट फेल हो गया लेकिन खाते से पैसे कट गए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_03,59,13,train
HIN_0373,यह बहुत जरूरी है: रिटर्न स्वीकार होने के बाद भी रिफंड नहीं मिला।,Hindi,Refund Issue,Refund Team,High,Hindi_Refund Issue_05,64,13,train
HIN_0796,रिटर्न के लिए पिकअप अभी तक नहीं हुआ।,Hindi,Return/Replacement,Returns Team,Medium,Hindi_Return/Replacement_04,36,8,validation
HIN_0227,डिलीवरी की तारीख बार-बार बदल रही है। कृपया इसे जल्दी हल करें।,Hindi,Delivery Issue,Logistics Team,Medium,Hindi_Delivery Issue_06,61,12,train
ENG_0197,The courier has not contacted me Please resolve this.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_04,53,9,test
HGL_0863,"Please help, courier person ne return collect karne se mana kiya. Please jaldi resolve karo.",Hinglish,Return/Replacement,Returns Team,Medium,Hinglish_Return/Replacement_08,92,15,train
ENG_1054,"Hello, there is an unknown transaction on my account",English,Fraud/Security,Security Team,Critical,English_Fraud/Security_01,52,9,train
ENG_0890,"Hello, my return request was cancelled without explanation Please resolve this.",English,Return/Replacement,Returns Team,Medium,English_Return/Replacement_10,79,11,train
HGL_0465,Ye urgent hai: main apna order cancel nahi kar pa rahi hoon. Mujhe jaldi update chahiye.,Hinglish,Cancellation Issue,Order Management,Medium,Hinglish_Cancellation Issue_01,88,16,test
HGL_0800,"Hello, return pickup abhi tak nahi hua. Please jaldi resolve karo.",Hinglish,Return/Replacement,Returns Team,Medium,Hinglish_Return/Replacement_04,66,11,validation
ENG_0412,"Please help, I received a smaller refund than expected",English,Refund Issue,Refund Team,High,English_Refund Issue_08,54,9,test
ENG_0150,This is urgent: the wrong amount was charged for my purchase I need an update as soon as possible.,English,Payment Issue,Payments Team,High,English_Payment Issue_10,98,19,train
ENG_0938,"Please help, my account has been locked Please resolve this.",English,Account Issue,Account Support,Medium,English_Account Issue_03,60,10,train
HIN_1026,"नमस्ते, मेरी ऑर्डर हिस्ट्री दिखाई नहीं दे रही है। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Account Issue,Account Support,Medium,Hindi_Account Issue_09,82,15,train
ENG_0315,This is urgent: I cancelled my order but have not received the refund I need an update as soon as possible.,English,Refund Issue,Refund Team,High,English_Refund Issue_01,107,21,train
HGL_0104,Ye urgent hai: payment karne ke baad bhi order pending dikha raha hai. Please jaldi resolve karo.,Hinglish,Payment Issue,Payments Team,High,Hinglish_Payment Issue_07,97,17,test
HIN_1070,"नमस्ते, किसी ने मेरे अकाउंट से ऑर्डर किया है। कृपया इसे जल्दी हल करें।",Hindi,Fraud/Security,Security Team,Critical,Hindi_Fraud/Security_02,70,14,test
HIN_0697,"कृपया मदद करें, उत्पाद की गुणवत्ता बहुत खराब है।",Hindi,Product Issue,Product Support,High,Hindi_Product Issue_07,48,9,validation
HIN_0614,यह बहुत जरूरी है: मुझे मिला हुआ उत्पाद खराब है। कृपया इसे जल्दी हल करें।,Hindi,Product Issue,Product Support,High,Hindi_Product Issue_01,72,15,test
HIN_0099,"कृपया मदद करें, ऑर्डर में पेमेंट अभी भी पेंडिंग दिख रहा है। मुझे जल्द से जल्द जानकारी चाहिए।",Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_07,92,18,validation
HIN_0948,मैं अपना फोन नंबर अपडेट नहीं कर पा रही हूँ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Account Issue,Account Support,Medium,Hindi_Account Issue_04,76,16,validation
HGL_1025,"Hello, meri order history missing hai. Please jaldi resolve karo.",Hinglish,Account Issue,Account Support,Medium,Hinglish_Account Issue_09,65,10,train
HGL_0823,Ye urgent hai: mujhe item ko different size se exchange karna hai.,Hinglish,Return/Replacement,Returns Team,Medium,Hinglish_Return/Replacement_05,66,12,train
HGL_1133,"Please help, kisi ne mere account ka password change kar diya. Please jaldi resolve karo.",Hinglish,Fraud/Security,Security Team,Critical,Hinglish_Fraud/Security_06,89,15,train
ENG_0300,This is urgent: the tracking information has not been updated I need an update as soon as possible.,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_10,99,18,train
ENG_1109,This is urgent: I received an OTP for a purchase I did not make Please resolve this.,English,Fraud/Security,Security Team,Critical,English_Fraud/Security_04,84,17,train
HIN_0571,रद्द करने के बाद भी ऑर्डर सक्रिय दिख रहा है।,Hindi,Cancellation Issue,Order Management,Medium,Hindi_Cancellation Issue_09,44,10,train
ENG_0806,I need assistance because the pickup for my return has not happened Please resolve this.,English,Return/Replacement,Returns Team,Medium,English_Return/Replacement_04,88,15,validation
HGL_0586,Order cancel karne par extra fee charge hui.,Hinglish,Cancellation Issue,Order Management,Medium,Hinglish_Cancellation Issue_10,44,8,train
ENG_0184,"Hello, tracking shows delivered but I did not receive the package",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_03,65,11,train
HGL_0928,Ye urgent hai: mujhe login OTP receive nahi ho raha.,Hinglish,Account Issue,Account Support,Medium,Hinglish_Account Issue_02,52,10,test
ENG_1026,"Hello, my order history is missing I need an update as soon as possible.",English,Account Issue,Account Support,Medium,English_Account Issue_09,72,14,train
HIN_0990,यह बहुत जरूरी है: मैं अपना पासवर्ड रीसेट नहीं कर पा रही हूँ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Account Issue,Account Support,Medium,Hindi_Account Issue_06,93,19,train
ENG_0882,I need assistance because I received the wrong replacement product I need an update as soon as possible.,English,Return/Replacement,Returns Team,Medium,English_Return/Replacement_09,104,18,train
HGL_0394,"Hello, refund wrong payment method mein bheja gaya.",Hinglish,Refund Issue,Refund Team,High,Hinglish_Refund Issue_07,51,8,train
HGL_0445,Mujhe help chahiye kyunki mere bank account mein promised refund nahi aaya.,Hinglish,Refund Issue,Refund Team,High,Hinglish_Refund Issue_10,75,12,train
HIN_0177,मुझे सहायता चाहिए क्योंकि ऑर्डर तय तारीख के बाद भी डिलीवर नहीं हुआ। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Delivery Issue,Logistics Team,Medium,Hindi_Delivery Issue_02,100,19,train
ENG_1172,A fake customer-care agent requested my bank details Please resolve this.,English,Fraud/Security,Security Team,Critical,English_Fraud/Security_09,73,11,train
HGL_1024,"Hello, meri order history missing hai.",Hinglish,Account Issue,Account Support,Medium,Hinglish_Account Issue_09,38,6,train
ENG_0052,"Please help, my card payment is stuck in processing",English,Payment Issue,Payments Team,High,English_Payment Issue_04,51,9,validation
ENG_0352,"Please help, the app says refunded but the money is not in my account",English,Refund Issue,Refund Team,High,English_Refund Issue_04,69,14,test
HIN_0678,उत्पाद के कुछ हिस्से टूटे हुए हैं। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Product Issue,Product Support,High,Hindi_Product Issue_06,67,13,train
ENG_0863,"Please help, the courier refused to collect my return Please resolve this.",English,Return/Replacement,Returns Team,Medium,English_Return/Replacement_08,74,12,train
ENG_0535,I need assistance because the seller rejected my cancellation request,English,Cancellation Issue,Order Management,Medium,English_Cancellation Issue_06,69,10,validation
HGL_0494,Ye urgent hai: cancellation request baar baar fail ho rahi hai. Please jaldi resolve karo.,Hinglish,Cancellation Issue,Order Management,Medium,Hinglish_Cancellation Issue_03,90,15,train
HGL_0428,"Please help, refund status kai din se change nahi hua. Please jaldi resolve karo.",Hinglish,Refund Issue,Refund Team,High,Hinglish_Refund Issue_09,81,14,test
HGL_0519,"Please help, galti se order place hua aur mujhe cancel karna hai. Mujhe jaldi update chahiye.",Hinglish,Cancellation Issue,Order Management,Medium,Hinglish_Cancellation Issue_05,93,16,test
ENG_1045,I need assistance because I accidentally created two accounts with the same number,English,Account Issue,Account Support,Medium,English_Account Issue_10,82,13,train
HGL_0952,"Please help, main apna phone number update nahi kar pa rahi hoon.",Hinglish,Account Issue,Account Support,Medium,Hinglish_Account Issue_04,65,12,train
ENG_0171,"Hello, the delivery is delayed beyond the promised date I need an update as soon as possible.",English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_02,93,17,validation
ENG_0140,"Hello, the wrong amount was charged for my purchase Please resolve this.",English,Payment Issue,Payments Team,High,English_Payment Issue_10,72,12,train
HIN_0014,यह बहुत जरूरी है: मेरे पैसे कट गए लेकिन ऑर्डर कन्फर्म नहीं हुआ। कृपया इसे जल्दी हल करें।,Hindi,Payment Issue,Payments Team,High,Hindi_Payment Issue_01,88,18,train
HIN_0914,यह बहुत जरूरी है: मैं अपने अकाउंट में लॉग इन नहीं कर पा रही हूँ। कृपया इसे जल्दी हल करें।,Hindi,Account Issue,Account Support,Medium,Hindi_Account Issue_01,89,20,test
HGL_0907,"Please help, main apne account mein login nahi kar pa rahi hoon.",Hinglish,Account Issue,Account Support,Medium,Hinglish_Account Issue_01,64,12,train
ENG_0280,I need assistance because the courier refused to deliver my package,English,Delivery Issue,Logistics Team,Medium,English_Delivery Issue_09,67,11,train
HIN_0781,मेरा रिटर्न अनुरोध स्वीकार नहीं हो रहा है।,Hindi,Return/Replacement,Returns Team,Medium,Hindi_Return/Replacement_03,42,8,train
HGL_0500,"Hello, cancel karne ke baad bhi order ship ho gaya. Please jaldi resolve karo.",Hinglish,Cancellation Issue,Order Management,Medium,Hinglish_Cancellation Issue_04,78,14,train
HIN_1175,"नमस्ते, नकली कस्टमर केयर एजेंट ने बैंक की जानकारी मांगी। कृपया इसे जल्दी हल करें।",Hindi,Fraud/Security,Security Team,Critical,Hindi_Fraud/Security_09,81,15,train
ENG_1065,This is urgent: there is an unknown transaction on my account I need an update as soon as possible.,English,Fraud/Security,Security Team,Critical,English_Fraud/Security_01,99,19,train
ENG_0568,This is urgent: I want to cancel one item from my order,English,Cancellation Issue,Order Management,Medium,English_Cancellation Issue_08,55,12,train
HIN_0281,मुझे सहायता चाहिए क्योंकि कूरियर वाले ने पैकेज देने से मना कर दिया। कृपया इसे जल्दी हल करें।,Hindi,Delivery Issue,Logistics Team,Medium,Hindi_Delivery Issue_09,92,18,validation
HGL_0597,Mujhe help chahiye kyunki order cancel karne par extra fee charge hui. Mujhe jaldi update chahiye.,Hinglish,Cancellation Issue,Order Management,Medium,Hinglish_Cancellation Issue_10,98,16,train
HGL_0715,Mujhe help chahiye kyunki mujhe expired product mila hai.,Hinglish,Product Issue,Product Support,High,Hinglish_Product Issue_08,57,9,test
HIN_0409,"नमस्ते, मुझे अपेक्षा से कम रिफंड मिला।",Hindi,Refund Issue,Refund Team,High,Hindi_Refund Issue_08,38,7,train
HGL_0327,Mujhe help chahiye kyunki mera refund abhi bhi pending hai. Mujhe jaldi update chahiye.,Hinglish,Refund Issue,Refund Team,High,Hinglish_Refund Issue_02,87,14,train
ENG_0965,"Hello, my saved address has disappeared Please resolve this.",English,Account Issue,Account Support,Medium,English_Account Issue_05,60,9,train
HIN_0737,मुझे खाली पैकेज मिला है। कृपया इसे जल्दी हल करें।,Hindi,Product Issue,Product Support,High,Hindi_Product Issue_10,49,10,test
HIN_0192,मुझे सहायता चाहिए क्योंकि ट्रैकिंग में डिलीवर दिख रहा है लेकिन पैकेज नहीं मिला। मुझे जल्द से जल्द जानकारी चाहिए।,Hindi,Delivery Issue,Logistics Team,Medium,Hindi_Delivery Issue_03,112,20,train
